"ano","TIPOLOGIA_AMPAROS","migrantes","percentual"
2021,"Acolhida Humanitária",5,0.232558139534884
2021,"Acolhida Venezuelanos",367,17.0697674418605
2021,"Acordos América do Sul",782,36.3720930232558
2021,"Estudos",77,3.58139534883721
2021,"Missão Religiosa",38,1.76744186046512
2021,"Não Aplicável",38,1.76744186046512
2021,"Outros",4,0.186046511627907
2021,"Refúgio/Asilo",18,0.837209302325581
2021,"Reunião Familiar",606,28.1860465116279
2021,"Trabalho/Investimentos",215,10
2022,"Acolhida Humanitária",62,2.50201775625504
2022,"Acolhida Venezuelanos",295,11.9047619047619
2022,"Acordos América do Sul",804,32.4455205811138
2022,"Estudos",295,11.9047619047619
2022,"Missão Religiosa",38,1.53349475383374
2022,"Não Aplicável",149,6.01291364003228
2022,"Outros",7,0.282485875706215
2022,"Refúgio/Asilo",7,0.282485875706215
2022,"Reunião Familiar",597,24.09200968523
2022,"Trabalho/Investimentos",224,9.03954802259887
2023,"Acolhida Humanitária",35,1.27923976608187
2023,"Acolhida Venezuelanos",243,8.88157894736842
2023,"Acordos América do Sul",1015,37.0979532163743
2023,"Estudos",262,9.57602339181287
2023,"Missão Religiosa",35,1.27923976608187
2023,"Não Aplicável",106,3.87426900584795
2023,"Outros",16,0.584795321637427
2023,"Refúgio/Asilo",3,0.109649122807018
2023,"Reunião Familiar",518,18.9327485380117
2023,"Trabalho/Investimentos",503,18.3845029239766
2024,"Acolhida Humanitária",64,1.99687987519501
2024,"Acolhida Venezuelanos",228,7.11388455538222
2024,"Acordos América do Sul",974,30.390015600624
2024,"Estudos",411,12.8237129485179
2024,"Missão Religiosa",81,2.52730109204368
2024,"Não Aplicável",155,4.83619344773791
2024,"Outros",8,0.249609984399376
2024,"Refúgio/Asilo",5,0.15600624024961
2024,"Reunião Familiar",496,15.4758190327613
2024,"Trabalho/Investimentos",783,24.4305772230889
2025,"Acolhida Humanitária",80,2.2682166146867
2025,"Acolhida Venezuelanos",215,6.09583215197051
2025,"Acordos América do Sul",953,27.0201304224553
2025,"Estudos",473,13.4108307343351
2025,"Missão Religiosa",81,2.29656932237029
2025,"Não Aplicável",248,7.03147150552878
2025,"Outros",8,0.22682166146867
2025,"Refúgio/Asilo",1,0.0283527076835838
2025,"Reunião Familiar",464,13.1556563651829
2025,"Trabalho/Investimentos",1004,28.4661185143181
