"ano","CONTINENTE","migrantes","percentual"
2021,"África",63,2.93023255813953
2021,"América Central e Caribe",87,4.04651162790698
2021,"América do Norte",107,4.97674418604651
2021,"América do Sul",1288,59.906976744186
2021,"Ásia",173,8.04651162790698
2021,"Europa",420,19.5348837209302
2021,"Não especificado",11,0.511627906976744
2021,"Oceania",1,0.0465116279069767
2022,"África",239,9.64487489911219
2022,"América Central e Caribe",142,5.73042776432607
2022,"América do Norte",136,5.48829701372074
2022,"América do Sul",1216,49.0718321226796
2022,"Ásia",215,8.67635189669088
2022,"Europa",516,20.8232445520581
2022,"Não especificado",8,0.322841000807102
2022,"Oceania",6,0.242130750605327
2023,"África",277,10.124269005848
2023,"América Central e Caribe",160,5.84795321637427
2023,"América do Norte",167,6.10380116959064
2023,"América do Sul",1359,49.6710526315789
2023,"Ásia",263,9.6125730994152
2023,"Europa",499,18.2383040935673
2023,"Não especificado",6,0.219298245614035
2023,"Oceania",5,0.182748538011696
2024,"África",352,10.9828393135725
2024,"América Central e Caribe",214,6.67706708268331
2024,"América do Norte",193,6.02184087363495
2024,"América do Sul",1326,41.3728549141966
2024,"Ásia",645,20.1248049921997
2024,"Europa",455,14.1965678627145
2024,"Não especificado",15,0.46801872074883
2024,"Oceania",5,0.15600624024961
2025,"África",368,10.4337964275588
2025,"América Central e Caribe",230,6.52112276722427
2025,"América do Norte",188,5.33030904451375
2025,"América do Sul",1292,36.6316983271903
2025,"Ásia",902,25.5741423305926
2025,"Europa",537,15.2254040260845
2025,"Não especificado",0,0
2025,"Oceania",10,0.283527076835838
