"ano","grupo_profissao","migrantes","percentual"
2021,"Tecnologia e administração",37,1.72093023255814
2021,"Transporte e logística",31,1.44186046511628
2021,"Gestão e empreendedorismo",86,4
2021,"Saúde",81,3.76744186046512
2021,"Educação e pesquisa",107,4.97674418604651
2021,"Construção, indústria e agro",142,6.6046511627907
2021,"Comércio e serviços",291,13.5348837209302
2021,"Sem ocupação e dependentes",390,18.1395348837209
2021,"Estudantes",379,17.6279069767442
2021,"Outros",606,28.1860465116279
2022,"Tecnologia e administração",41,1.6545601291364
2022,"Transporte e logística",42,1.69491525423729
2022,"Gestão e empreendedorismo",85,3.43018563357546
2022,"Saúde",71,2.86521388216303
2022,"Educação e pesquisa",113,4.56012913640032
2022,"Construção, indústria e agro",143,5.77078288942696
2022,"Comércio e serviços",291,11.7433414043584
2022,"Sem ocupação e dependentes",465,18.7651331719128
2022,"Estudantes",581,23.4463276836158
2022,"Outros",646,26.0694108151735
2023,"Tecnologia e administração",39,1.42543859649123
2023,"Transporte e logística",79,2.8874269005848
2023,"Gestão e empreendedorismo",60,2.19298245614035
2023,"Saúde",74,2.7046783625731
2023,"Educação e pesquisa",122,4.45906432748538
2023,"Construção, indústria e agro",221,8.07748538011696
2023,"Comércio e serviços",348,12.719298245614
2023,"Sem ocupação e dependentes",454,16.593567251462
2023,"Estudantes",551,20.1388888888889
2023,"Outros",788,28.8011695906433
2024,"Tecnologia e administração",42,1.31045241809672
2024,"Transporte e logística",27,0.842433697347894
2024,"Gestão e empreendedorismo",68,2.1216848673947
2024,"Saúde",93,2.90171606864275
2024,"Educação e pesquisa",125,3.90015600624025
2024,"Construção, indústria e agro",350,10.9204368174727
2024,"Comércio e serviços",360,11.2324492979719
2024,"Sem ocupação e dependentes",402,12.5429017160686
2024,"Estudantes",657,20.4992199687988
2024,"Outros",1081,33.7285491419657
2025,"Tecnologia e administração",46,1.30422455344485
2025,"Transporte e logística",28,0.793875815140346
2025,"Gestão e empreendedorismo",91,2.58009639920612
2025,"Saúde",130,3.68585199886589
2025,"Educação e pesquisa",124,3.51573575276439
2025,"Construção, indústria e agro",161,4.56478593705699
2025,"Comércio e serviços",364,10.3203855968245
2025,"Sem ocupação e dependentes",437,12.3901332577261
2025,"Estudantes",703,19.9319535015594
2025,"Outros",1443,40.9129571874114
